time_s,mor1,mor2,mor3,mor4,mor5,mor6,mor7,mor8,mor9,mor10,mor11,mor12,noon1,noon2,noon3,noon4,noon5,noon6,noon7,noon8,noon9,noon10,noon11,noon12,eve1,eve2,eve3,eve4,eve5,eve6,eve7,eve8,eve9,eve10,eve11,eve12,normal
455,91.6,83.57,94.15,96.06,83.01,96.71,101.47,81.35,101.0,92.9,85.61,91.99,90.41,81.99,89.38,98.5,87.67,91.3,87.92,93.63,99.72,93.22,96.74,85.39,90.43,96.19,93.91,73.51,99.89,94.64,86.63,92.4,89.99,82.86,83.83,101.88,81.73
460,90.46,84.34,93.1,96.21,84.44,95.04,100.67,80.46,99.24,91.04,85.45,91.14,90.17,81.17,89.59,98.33,85.15,91.46,91.27,92.09,101.48,92.07,92.45,83.01,92.23,97.29,97.02,74.69,100.1,98.08,88.05,94.55,93.53,85.2,88.01,103.68,81.97
465,89.72,85.98,91.91,98.06,84.62,94.5,96.17,81.63,98.81,88.78,87.28,91.66,90.63,80.87,90.31,98.48,85.74,90.83,94.14,92.68,101.76,93.39,90.55,81.92,94.02,95.74,98.75,79.1,104.22,97.59,90.27,98.82,95.77,88.22,89.34,104.97,82.43
470,89.43,86.28,89.4,98.34,84.77,96.09,91.83,85.31,99.77,87.51,85.52,92.16,91.49,83.31,90.98,101.23,91.17,90.58,98.78,92.44,104.06,97.19,91.08,83.53,94.37,94.92,98.32,85.27,108.19,98.62,92.15,101.09,95.96,90.07,89.43,104.75,83.08
475,90.8,88.61,89.33,98.65,83.21,99.16,90.41,88.35,102.11,86.75,86.79,95.62,95.08,87.43,93.18,108.26,99.72,90.18,104.52,96.29,106.31,102.25,96.57,90.13,95.12,96.07,98.37,89.73,109.47,98.27,91.77,102.19,95.88,89.8,88.16,104.49,83.97
480,91.7,88.15,90.58,95.88,84.29,98.18,92.97,89.06,104.3,85.76,86.4,96.0,97.06,92.61,94.5,112.39,104.87,89.96,107.46,99.15,105.63,101.41,98.56,93.48,94.19,96.83,98.04,90.6,106.62,97.27,89.75,101.75,95.01,89.43,88.29,103.81,84.47
485,92.21,88.91,92.98,94.79,84.58,95.14,97.68,86.36,103.76,83.73,87.28,93.74,98.65,95.3,96.17,110.48,105.21,90.63,107.54,98.72,104.59,98.36,97.99,94.18,94.26,97.75,98.89,89.48,105.39,96.04,88.06,102.33,93.85,87.98,88.01,104.87,84.39
490,90.74,84.42,93.38,91.22,84.96,89.74,100.3,82.72,102.58,82.36,85.13,88.69,95.56,94.07,92.16,100.25,101.45,90.47,104.58,93.38,101.31,92.87,92.99,89.81,91.36,94.17,96.56,86.76,104.73,92.57,86.59,99.93,90.76,84.85,87.2,104.39,83.47
495,89.69,82.68,92.43,90.82,82.18,88.26,100.07,80.35,102.77,82.35,85.5,86.65,93.58,91.9,89.63,92.81,99.0,92.36,103.98,88.48,100.75,93.6,91.26,88.1,90.84,93.05,94.8,85.73,105.13,92.91,86.51,98.98,89.74,83.41,87.81,104.65,82.44
500,89.17,79.93,91.45,90.02,81.78,89.34,98.52,79.81,104.36,84.67,85.89,86.92,91.04,90.24,86.5,89.13,99.33,93.42,103.17,85.52,97.62,94.12,89.66,86.78,89.56,91.71,93.4,84.41,103.0,91.94,86.27,95.88,89.13,84.19,87.38,103.56,81.58
505,90.32,81.21,93.25,92.72,83.27,91.48,99.07,80.72,106.45,88.21,88.64,88.93,90.7,90.74,89.18,91.26,99.08,95.17,100.94,87.4,94.1,94.78,89.02,85.81,89.82,92.8,91.93,83.19,101.48,91.48,86.51,95.12,90.51,86.71,87.83,102.63,81.3
510,91.12,81.71,97.51,93.4,87.67,91.64,99.73,81.31,104.89,91.75,90.01,91.2,90.15,89.88,91.76,94.53,97.1,94.97,96.68,88.63,91.78,93.9,88.79,83.89,89.4,91.84,92.08,82.63,99.7,91.7,87.4,93.54,89.38,87.81,85.99,100.14,81.29
515,91.32,83.28,100.71,93.24,89.03,89.81,99.52,82.25,103.88,93.57,89.68,93.39,90.14,88.8,94.69,97.91,94.56,94.04,94.1,91.51,92.54,94.71,89.43,82.17,90.16,91.41,91.98,84.05,99.56,93.63,88.6,94.96,89.69,88.35,86.86,99.16,81.49
520,90.19,83.34,99.96,90.12,86.29,87.62,96.96,83.75,101.21,91.12,87.14,94.18,89.9,87.63,92.63,98.19,94.65,92.41,95.02,91.86,95.86,97.94,91.68,83.1,91.95,91.45,94.64,87.29,100.31,96.37,89.89,96.4,90.0,89.91,88.97,100.5,81.72
525,89.45,82.37,94.83,89.67,82.01,86.39,96.43,85.42,102.07,88.01,83.65,93.11,90.35,88.98,88.75,98.34,96.85,89.31,98.33,94.29,96.46,99.33,91.09,84.9,93.73,92.6,96.23,90.05,102.76,96.92,89.22,98.75,94.84,90.83,91.41,104.97,82.18
530,89.16,81.0,91.03,90.67,81.6,85.44,97.11,86.17,103.03,85.51,83.29,91.41,91.21,89.07,84.84,98.8,97.7,86.23,100.8,96.54,96.93,101.51,91.09,87.98,94.09,91.71,96.52,90.2,103.63,96.03,87.67,97.35,96.61,89.79,91.33,107.55,82.83
535,90.53,81.07,89.46,94.6,86.2,85.4,99.62,87.16,106.7,87.41,84.97,92.5,94.79,90.37,85.9,102.94,99.84,88.62,104.35,101.04,99.5,105.24,90.73,90.92,94.84,91.42,96.99,90.99,105.66,97.01,87.35,95.83,99.84,88.75,89.83,109.25,83.71
540,91.42,82.4,90.75,95.71,90.22,85.84,100.28,87.86,107.25,90.17,87.71,94.62,96.77,89.85,87.14,103.56,99.36,93.28,106.64,102.4,101.84,108.53,92.51,92.44,93.91,92.25,95.41,88.15,105.26,95.7,87.25,92.07,97.5,87.69,88.58,108.79,84.21
545,91.94,83.96,90.66,96.14,91.87,87.82,100.34,89.17,106.68,92.13,87.61,95.57,98.36,91.43,90.38,102.92,100.85,98.72,108.69,102.78,104.02,109.62,93.63,92.45,93.97,95.02,96.4,87.1,105.42,95.24,88.03,92.35,96.32,88.75,88.58,107.9,84.14
550,90.47,84.89,89.58,93.96,89.07,89.81,97.71,87.54,102.31,91.16,84.43,93.03,95.27,90.42,88.19,99.18,98.65,96.08,106.48,99.24,101.33,104.13,93.83,90.47,91.09,95.01,94.27,82.12,102.35,92.16,85.1,91.75,90.29,86.98,87.21,104.98,83.22
555,89.42,85.3,89.05,93.86,88.36,91.32,94.73,87.55,99.31,89.46,81.51,91.46,93.3,90.77,87.51,99.05,98.77,92.71,103.24,97.39,99.67,98.52,92.54,87.96,90.56,92.9,95.77,82.77,102.04,92.78,85.71,94.38,87.76,87.1,86.87,102.64,82.19
560,88.9,84.56,89.97,92.76,88.05,91.59,91.2,88.32,97.44,89.62,81.65,90.53,90.77,89.63,83.8,97.52,96.43,90.22,100.13,94.07,96.85,93.68,90.77,84.64,89.29,90.35,93.2,83.03,101.5,92.96,85.24,95.41,87.36,86.24,85.49,102.86,81.34
565,90.05,84.72,93.09,92.75,90.0,92.39,90.12,90.97,99.34,91.64,84.09,90.95,90.43,91.06,84.38,97.47,92.79,90.66,98.73,92.7,95.09,92.04,89.28,81.75,89.55,89.55,91.71,85.71,99.16,93.77,87.37,95.23,89.84,85.72,85.06,103.82,81.06
570,90.85,85.6,93.73,91.0,91.02,91.49,91.1,90.24,101.32,94.17,86.94,90.48,89.87,90.72,85.3,96.67,88.98,90.45,98.94,90.15,94.31,91.32,88.91,80.07,89.13,90.35,87.68,85.39,96.67,93.07,85.18,93.15,92.13,83.83,82.84,104.76,81.05
575,91.05,87.29,92.71,91.76,91.01,90.61,93.13,85.6,100.56,94.66,87.52,91.83,89.87,91.12,87.29,98.44,86.83,88.93,98.01,88.96,94.27,89.45,89.83,80.04,89.89,92.58,87.77,83.54,96.02,92.91,84.7,90.85,94.47,82.88,81.68,106.22,81.24
580,89.91,86.61,88.37,93.42,91.06,87.8,94.53,82.12,99.02,94.49,88.15,92.85,89.63,89.89,87.46,98.27,89.23,86.67,95.6,87.84,96.17,87.03,89.91,80.34,91.68,94.34,90.73,83.17,100.39,93.27,84.86,93.73,97.69,85.04,83.07,108.44,81.47
585,89.18,85.53,86.75,95.6,88.94,86.6,94.29,80.58,97.8,92.85,86.63,93.4,90.08,88.02,87.49,97.12,92.85,87.07,92.3,88.22,97.79,86.6,89.63,82.86,93.45,95.95,95.36,83.87,101.42,94.16,87.45,95.42,99.65,87.47,86.4,112.4,81.93
590,88.9,84.35,86.96,96.06,86.15,85.93,93.16,82.7,100.21,91.72,86.2,91.93,90.94,86.14,88.65,94.74,95.96,88.9,92.35,90.08,99.28,89.18,88.16,83.83,93.8,95.57,96.54,87.15,102.59,94.61,87.8,97.58,99.5,89.46,89.3,113.7,82.58
595,90.25,83.68,90.44,95.46,81.0,87.73,94.53,84.41,102.3,89.81,85.64,92.41,94.51,86.45,91.97,98.04,100.68,94.53,96.63,95.57,102.52,96.85,90.64,86.38,94.55,98.64,96.72,89.82,103.67,95.4,87.81,98.07,99.33,89.85,90.13,118.4,83.46
600,91.15,82.33,92.09,95.92,78.93,90.64,96.18,86.3,104.97,89.34,86.96,92.12,96.47,89.03,93.91,101.72,100.68,96.78,100.36,100.0,104.12,102.51,91.75,85.65,93.62,99.51,95.08,90.98,107.19,95.39,86.02,99.1,99.71,89.01,89.96,117.5,83.96
605,91.66,82.11,92.81,97.31,79.76,92.92,98.99,87.18,105.21,88.74,86.92,92.7,98.06,93.34,94.61,104.04,103.0,97.95,101.14,102.52,107.2,105.31,93.1,88.07,93.69,99.99,96.85,91.62,107.96,95.93,86.3,100.07,100.04,88.68,89.16,115.76,83.88
610,90.19,81.86,91.23,98.79,83.78,93.95,95.62,85.42,102.8,87.28,86.54,90.86,94.98,93.78,90.88,97.39,98.03,94.79,98.99,98.8,104.41,102.01,90.45,89.19,90.81,95.29,95.21,88.28,106.4,96.91,85.32,96.69,98.16,87.7,87.55,106.89,82.97
615,89.15,81.48,90.53,99.35,85.66,92.89,93.17,82.95,99.67,86.29,85.78,90.55,93.02,92.47,86.84,90.78,96.88,93.26,97.23,95.85,105.04,100.88,89.66,91.62,90.29,92.93,95.48,86.1,105.58,98.73,86.27,95.22,96.47,87.75,86.37,103.7,81.94
620,88.63,79.85,89.48,98.89,85.26,91.99,91.85,80.2,96.47,85.93,86.32,90.51,90.49,86.53,83.3,88.16,92.06,91.51,96.04,91.95,102.25,99.43,88.61,90.16,89.02,92.0,93.16,83.26,106.72,100.47,86.33,93.74,94.83,85.42,86.03,101.81,81.09
625,89.78,80.37,89.63,97.54,83.34,90.56,96.29,79.38,98.07,89.1,85.51,91.17,90.15,84.07,82.9,91.18,91.63,91.06,94.91,91.67,102.69,99.22,89.42,88.36,89.28,93.88,93.05,83.58,106.3,99.53,86.4,95.18,93.33,83.02,85.53,104.21,80.81
630,90.57,82.17,87.65,93.86,82.61,89.98,99.94,79.97,99.47,91.78,85.27,90.73,89.6,82.18,85.1,95.73,90.45,90.36,95.46,91.41,98.71,96.18,91.17,84.49,88.86,95.69,92.08,83.55,105.6,96.95,85.68,95.96,92.6,80.69,84.25,103.84,80.8
635,90.77,85.01,85.7,89.46,83.04,89.39,101.48,80.36,104.09,94.04,84.18,89.31,89.6,83.32,87.79,96.58,90.94,90.08,94.66,92.34,97.1,94.64,93.05,82.49,89.62,95.94,91.23,85.42,102.82,95.17,85.71,97.2,93.06,80.0,82.82,105.76,81.0
640,89.64,85.23,83.06,86.63,84.11,89.87,98.26,80.31,104.58,94.27,84.94,87.51,89.36,82.14,90.54,94.43,90.53,90.38,93.77,91.94,95.99,91.67,92.38,81.1,91.4,95.0,91.53,87.85,101.31,95.01,88.26,98.24,95.37,81.61,84.09,106.83,81.23
645,88.91,84.27,84.17,87.27,84.32,89.5,95.24,78.9,105.1,92.92,85.17,88.28,89.81,81.97,92.24,91.2,91.4,92.12,92.14,91.55,97.23,91.34,89.89,83.17,93.17,93.58,91.71,90.59,98.79,98.3,92.08,97.71,96.07,84.7,86.91,108.01,81.68
650,88.63,83.28,86.23,90.3,85.38,88.68,93.32,78.94,102.48,92.34,86.62,90.43,90.66,82.72,92.33,90.36,93.88,93.95,92.14,92.3,98.9,90.53,88.2,84.2,93.52,93.77,92.82,89.4,98.12,96.76,94.59,97.25,95.43,88.24,89.01,104.72,82.33
655,89.98,84.82,89.34,92.98,87.15,86.97,97.71,80.4,102.34,90.81,89.22,95.72,94.22,87.14,94.24,95.76,99.78,97.85,95.24,96.29,102.86,96.19,91.09,87.63,94.26,94.81,94.29,86.93,99.91,97.64,95.71,98.03,95.19,89.74,90.04,103.44,83.21
660,90.87,86.96,91.36,94.45,89.34,85.51,101.74,82.61,100.98,90.84,91.07,96.67,96.18,91.6,95.22,100.25,102.35,98.82,97.38,99.04,105.66,99.61,92.31,88.16,93.34,94.6,96.19,81.16,102.28,94.95,92.44,98.45,94.11,88.33,89.88,101.88,83.71
665,91.38,89.46,92.68,92.58,89.59,83.46,102.25,83.66,100.01,90.13,89.89,96.15,97.76,94.92,98.9,104.52,102.96,99.88,101.03,99.77,106.91,103.97,92.22,90.52,93.41,94.06,99.36,78.27,103.79,96.15,89.95,96.71,95.35,87.76,90.88,105.72,83.63
670,89.92,87.96,92.43,90.11,87.66,81.48,98.34,83.26,98.66,89.51,86.29,91.9,94.69,93.94,95.72,101.3,99.52,95.4,101.01,95.33,103.28,100.85,87.82,88.14,90.54,91.82,97.78,76.43,103.55,94.47,85.86,92.35,93.77,85.72,89.06,104.07,82.72
675,88.88,85.24,90.59,87.64,85.99,80.19,96.1,82.79,99.5,87.39,82.92,91.28,92.74,91.87,91.9,99.44,98.1,93.24,101.5,91.22,99.47,97.2,86.38,86.04,90.02,91.33,96.76,79.99,103.82,94.07,86.79,91.49,94.05,87.28,88.37,105.09,81.69
680,88.36,80.62,87.87,88.44,84.42,82.19,99.13,82.66,102.88,85.2,82.48,91.41,90.22,90.75,86.25,97.68,96.01,89.95,101.2,89.74,94.91,93.06,85.31,82.01,88.75,90.42,93.16,82.15,104.81,93.32,87.75,91.85,91.81,87.71,86.82,100.93,80.85
685,89.5,80.48,87.24,90.23,83.88,83.58,101.85,83.08,105.84,84.79,82.92,94.4,89.88,90.64,87.69,97.68,93.44,89.99,101.86,89.88,91.46,91.9,86.97,80.53,89.01,92.02,94.19,83.28,104.25,93.48,89.64,94.81,91.24,88.64,87.26,101.44,80.57
690,90.3,82.38,88.33,92.85,84.49,85.42,103.23,82.75,108.59,85.77,83.53,95.03,89.33,90.33,89.69,97.5,91.97,89.32,101.49,91.21,91.12,93.58,88.19,79.46,88.59,93.59,92.84,84.52,102.2,94.34,88.16,95.0,91.57,85.97,87.22,100.05,80.56
695,90.5,85.52,90.78,93.84,87.61,85.76,100.25,82.01,107.15,85.71,82.97,95.03,89.33,88.43,90.46,94.88,92.39,90.52,98.69,89.92,92.81,93.48,91.02,80.32,89.35,95.54,94.56,88.02,101.37,96.45,87.29,96.55,93.95,84.1,87.98,101.37,80.75
700,89.37,85.64,90.71,94.77,92.42,87.77,96.99,81.76,103.5,85.07,81.11,91.54,89.08,87.36,85.93,92.82,95.03,90.73,94.76,90.79,96.12,92.53,90.52,80.05,91.12,95.8,94.51,94.32,101.55,98.7,86.58,96.39,97.89,84.65,89.56,102.47,80.98
705,88.64,84.46,90.49,93.67,93.99,87.94,94.85,82.24,99.58,84.65,79.21,87.98,89.54,86.5,82.05,91.3,95.62,91.53,92.07,92.82,98.82,90.4,89.43,81.32,92.89,94.58,98.5,96.36,103.28,99.35,87.34,97.11,99.73,88.57,90.15,105.59,81.44
710,88.36,82.13,89.58,93.34,92.8,87.78,94.81,83.44,98.07,86.04,79.16,86.93,90.39,87.16,81.66,94.61,95.07,91.48,90.95,95.19,102.65,91.64,86.63,82.76,93.23,92.69,99.94,96.33,102.38,98.25,85.5,95.24,102.05,89.11,88.96,109.07,82.08
715,89.71,81.11,89.82,93.35,88.15,87.87,97.6,84.61,99.56,88.15,82.62,89.61,93.94,89.03,85.92,101.31,98.3,94.89,94.25,97.0,107.38,95.84,90.03,88.46,93.98,92.82,102.52,92.62,104.39,97.54,86.29,95.37,102.93,90.05,89.47,111.3,82.96
720,90.6,80.27,87.15,93.09,85.33,89.41,100.02,85.83,101.04,90.06,86.45,94.44,95.89,91.22,90.71,104.37,103.27,97.6,98.85,97.56,108.88,99.36,92.53,91.6,93.06,93.61,99.81,90.1,102.78,96.31,85.2,94.08,103.1,85.61,87.62,106.82,83.45
725,91.1,80.99,86.64,91.2,85.2,89.63,102.87,85.99,103.02,91.62,87.28,95.29,97.47,93.39,93.46,103.5,107.72,98.5,103.28,99.3,106.85,100.38,95.81,93.64,93.12,95.69,97.2,89.25,102.17,96.29,87.28,94.58,98.28,86.09,89.69,100.97,83.37
730,89.65,79.67,85.85,86.72,85.68,88.49,103.59,83.78,105.05,90.23,85.84,92.51,94.41,91.2,93.35,96.85,103.08,94.49,102.8,98.95,104.31,98.23,91.66,89.94,90.26,94.87,91.4,88.52,97.1,94.27,86.13,92.65,91.07,82.72,85.82,95.47,82.47
735,88.61,78.44,89.24,85.52,85.86,88.19,102.37,80.46,105.46,90.03,84.58,90.17,92.46,90.05,93.03,94.9,96.92,90.6,99.57,96.69,104.08,97.33,89.34,87.51,89.74,94.06,89.78,88.54,95.84,95.14,88.05,92.65,87.02,85.88,86.96,98.61,81.45
740,88.09,77.4,90.98,86.77,80.91,88.23,100.04,79.24,104.47,90.23,85.13,90.47,89.94,85.65,91.47,92.51,92.24,87.45,97.48,93.04,105.75,94.71,85.11,83.26,88.48,92.8,89.06,85.99,94.05,94.31,88.25,92.86,85.7,85.53,84.23,101.32,80.6
745,89.23,80.07,94.46,90.9,80.26,88.6,96.87,80.58,103.07,92.61,83.71,92.04,89.61,84.58,90.86,92.73,91.78,87.25,96.06,89.24,103.03,91.97,84.42,80.97,88.74,92.59,92.04,85.42,95.29,93.91,88.65,93.62,86.72,88.43,85.66,103.42,80.32
750,90.02,84.16,94.25,92.66,80.19,87.28,95.32,83.87,102.35,92.48,82.22,92.19,89.06,81.08,88.58,90.43,93.06,87.52,95.05,86.71,99.52,88.25,83.88,78.43,88.32,92.88,94.27,84.86,96.13,91.59,87.99,93.85,86.94,87.17,84.96,103.04,80.31
755,90.22,87.28,93.11,92.78,85.94,87.1,95.43,85.53,102.57,90.03,80.33,91.24,89.05,80.52,88.54,89.13,92.37,89.71,92.29,85.61,94.56,90.14,85.91,77.39,89.08,92.79,94.91,87.16,99.3,90.3,88.07,93.76,89.63,88.78,85.64,107.2,80.51
760,89.1,86.73,90.98,91.98,87.66,86.95,96.94,86.28,100.06,87.16,79.9,90.13,88.81,79.52,88.44,87.83,93.3,89.91,92.0,88.07,94.24,93.38,86.4,78.15,90.84,92.77,94.73,89.85,101.72,90.22,89.37,94.8,92.66,89.2,84.97,112.68,80.73
765,88.37,84.34,90.42,92.77,88.53,86.72,99.8,85.69,98.73,85.74,79.91,88.37,89.26,81.37,90.26,90.6,94.35,88.1,93.2,90.91,95.06,97.71,85.54,80.34,92.6,92.26,93.01,92.19,104.2,89.86,90.08,95.8,95.21,90.41,84.68,115.05,81.19
770,88.09,83.31,90.72,94.01,86.54,85.75,101.11,84.98,98.1,86.68,80.55,87.17,90.11,83.26,91.57,93.33,98.37,84.95,95.75,93.99,97.97,99.01,81.89,83.62,92.95,90.31,92.13,91.42,104.0,89.99,89.5,97.21,94.92,87.24,84.6,111.99,81.83
775,89.44,85.41,92.6,95.74,85.47,86.1,102.58,84.63,102.07,89.21,83.24,88.45,93.65,88.36,94.71,99.29,101.71,86.57,98.66,97.75,103.36,103.07,83.15,87.33,93.69,91.78,90.73,89.57,105.56,92.12,88.59,98.49,94.63,85.58,87.11,111.42,82.7
780,90.32,86.76,94.33,95.18,83.75,86.96,99.3,83.73,106.05,90.37,83.72,91.23,95.6,89.27,96.41,100.35,102.72,90.08,100.5,101.57,107.8,106.1,85.94,87.19,92.77,90.93,89.22,86.07,104.11,93.71,86.41,99.01,92.9,83.22,87.84,110.91,83.2
785,90.83,86.05,95.28,93.38,83.47,88.8,95.64,81.42,108.63,91.2,82.44,93.79,97.17,89.94,97.42,101.7,102.04,95.17,101.94,104.89,111.87,108.07,93.52,86.73,92.84,94.42,90.82,84.29,104.09,94.46,86.66,97.81,91.81,84.55,88.97,112.37,83.12
790,89.38,82.88,90.75,89.7,83.32,88.94,92.19,79.68,107.82,89.93,80.03,93.78,94.12,85.11,94.75,98.18,99.37,93.82,99.54,101.85,109.14,103.02,95.22,81.83,89.99,92.32,90.21,82.8,100.04,92.66,86.64,94.62,89.73,82.89,85.53,107.09,82.22
795,88.34,81.34,85.56,88.03,84.44,88.46,92.39,79.97,105.21,90.92,81.03,93.77,92.18,84.87,92.0,96.06,97.94,92.25,97.4,97.11,104.65,99.3,95.14,81.81,89.47,95.51,90.87,84.47,99.65,93.34,89.94,92.3,88.16,82.52,83.78,104.88,81.2
800,87.83,80.53,81.64,87.32,85.1,87.75,92.04,82.92,102.57,91.34,84.25,94.65,89.67,84.25,87.94,94.88,96.12,88.1,95.62,92.36,98.02,95.92,91.13,80.76,88.21,94.47,90.43,84.71,98.68,94.53,90.99,91.07,87.23,81.34,81.08,102.33,80.36
805,88.96,79.1,83.04,88.59,86.52,87.83,90.71,85.07,101.66,92.8,87.66,96.2,89.34,84.72,85.77,96.21,95.09,87.06,94.68,91.1,95.7,96.54,89.6,83.44,88.47,95.8,91.88,84.07,99.36,93.96,90.56,92.54,87.36,82.45,79.92,105.33,80.08
810,89.75,77.77,87.06,89.81,86.96,88.98,88.86,86.05,101.28,92.84,88.91,96.01,88.79,83.24,84.19,97.36,94.41,86.81,94.35,92.21,97.26,95.84,88.58,83.1,88.06,94.73,92.48,81.64,97.82,92.05,87.59,92.76,90.02,85.06,78.75,107.07,80.07
815,89.95,76.95,89.86,92.42,86.81,88.9,88.84,86.56,99.95,92.32,88.24,94.8,88.78,82.15,86.29,96.2,92.41,88.95,94.78,92.19,100.37,94.07,89.2,84.71,88.8,94.69,90.5,81.52,96.44,89.54,85.7,92.94,93.7,87.85,78.17,108.3,80.26
820,88.83,77.7,89.71,95.28,85.71,88.49,89.17,85.9,96.48,90.45,85.92,93.27,88.54,82.92,86.06,94.53,92.05,89.99,96.59,90.62,101.32,92.26,87.73,85.22,90.57,95.9,89.73,82.87,97.83,90.31,86.66,91.69,96.98,91.29,80.74,107.85,80.49
825,88.1,79.92,87.38,97.17,85.8,87.9,89.14,84.59,94.18,88.5,84.18,93.78,88.99,85.04,87.6,93.7,91.45,91.81,98.0,88.28,100.26,91.88,87.24,88.33,92.32,95.44,90.65,85.29,100.55,91.88,88.14,92.78,97.86,92.11,83.53,107.22,80.94
830,87.82,82.36,85.63,96.11,85.43,87.56,89.77,82.15,95.64,88.64,82.14,93.88,89.84,86.47,87.81,95.14,93.98,92.45,97.09,87.65,99.58,94.84,86.48,89.24,92.67,96.02,92.27,86.47,102.7,93.9,88.66,93.03,95.94,92.58,86.29,106.77,81.58
835,89.16,86.6,85.67,94.02,85.76,87.51,91.48,81.4,99.8,90.9,81.95,94.17,93.36,90.57,93.34,98.04,96.71,96.09,99.62,92.91,101.35,100.1,90.34,90.37,93.41,96.2,95.41,89.36,102.45,97.3,89.58,93.6,95.42,92.0,87.89,106.57,82.45
840,90.04,88.06,87.01,90.61,82.85,86.62,94.89,80.78,102.21,94.37,81.21,93.36,95.31,91.62,97.16,101.43,98.51,96.14,101.75,96.17,101.76,102.62,93.67,88.44,92.49,96.5,95.51,89.55,100.25,99.14,90.18,92.64,94.98,91.13,86.72,104.6,82.94
845,90.55,87.41,87.71,89.82,81.88,85.92,95.42,82.02,102.43,95.11,82.88,93.03,96.87,92.79,98.38,104.2,99.87,96.78,105.61,100.22,100.62,101.8,96.63,87.66,92.56,97.64,96.3,88.54,100.61,102.43,91.56,93.6,96.67,90.05,85.41,103.45,82.87
850,89.1,85.03,87.15,88.35,80.06,84.78,95.25,81.75,99.79,92.93,83.9,91.29,93.83,89.07,93.9,101.61,97.75,93.2,102.36,98.38,96.95,96.26,93.36,86.83,89.71,96.56,93.32,82.78,99.99,101.46,89.69,92.25,94.55,88.41,81.2,99.45,81.96
855,88.07,82.7,86.21,88.91,82.62,84.26,92.94,82.24,100.59,88.5,84.63,88.68,91.89,87.71,89.17,99.06,96.83,91.39,99.18,99.19,96.0,92.3,88.64,87.05,89.2,96.72,92.39,80.0,102.57,101.23,88.36,89.96,93.46,87.22,82.09,98.59,80.95
860,87.56,82.77,87.61,88.15,82.71,85.58,93.25,81.15,101.67,85.94,84.09,86.26,89.4,84.73,86.55,93.82,93.45,87.91,96.94,97.68,95.85,89.61,84.14,84.18,87.94,92.34,91.65,78.93,102.07,97.02,86.3,86.1,89.65,86.04,83.06,98.6,80.11
865,88.69,81.3,90.22,89.4,83.81,87.51,94.06,81.68,105.64,85.72,84.25,86.75,89.06,83.32,87.84,92.39,92.57,85.93,98.67,94.82,96.6,89.66,83.18,81.95,88.19,89.82,90.94,80.84,101.92,91.77,85.42,85.88,89.92,85.08,85.4,103.08,79.84
870,89.47,80.62,92.36,89.12,81.68,90.13,95.82,82.06,105.84,88.05,85.95,88.58,88.52,79.87,88.74,88.27,90.29,84.92,100.02,90.65,94.48,90.7,84.44,79.93,87.79,86.84,90.71,80.57,100.48,88.23,83.99,88.21,89.61,84.85,83.74,105.65,79.82
875,89.67,79.75,91.69,90.34,80.26,91.38,96.68,82.01,103.82,89.07,87.06,89.91,88.51,80.13,87.8,89.26,90.13,85.63,98.4,87.58,93.41,91.67,87.14,81.72,88.53,88.34,90.98,80.9,99.66,89.29,84.48,91.03,93.49,84.94,82.05,106.59,80.02
880,88.56,80.41,89.61,89.95,77.66,91.99,96.19,80.78,100.54,90.12,87.55,87.99,88.27,80.31,85.68,91.8,89.76,85.71,95.45,88.43,93.46,91.82,88.76,82.24,90.29,89.32,92.14,80.55,101.22,95.82,86.66,93.02,95.01,85.45,83.37,105.69,80.24
885,87.83,80.2,88.62,91.62,77.03,89.87,95.54,79.31,98.51,89.85,85.85,86.32,88.72,83.86,84.9,98.56,92.46,85.24,93.12,91.71,96.19,91.26,89.93,82.76,92.04,89.95,92.77,83.63,101.99,99.74,90.01,94.78,97.72,86.37,85.66,106.74,80.69
890,87.55,79.55,90.22,91.59,77.36,86.61,96.1,78.25,98.13,90.86,83.99,85.58,89.56,85.71,88.04,101.76,93.75,85.35,93.06,95.24,98.88,93.19,88.64,82.5,92.38,88.56,92.16,86.23,103.99,100.6,91.17,96.61,94.29,86.17,87.27,106.49,81.33
895,88.89,79.47,93.82,92.65,80.81,83.79,98.14,79.21,99.05,92.17,82.33,88.51,93.08,87.86,92.56,105.27,98.25,89.68,96.18,99.7,104.56,98.9,90.49,85.51,93.12,90.33,92.85,90.7,103.55,99.81,92.29,98.75,92.28,87.04,86.41,108.24,82.2
900,89.77,81.99,93.89,94.22,84.33,84.08,99.08,79.67,100.2,92.3,81.45,91.07,95.01,87.67,95.73,103.83,99.54,93.44,100.01,100.7,106.81,103.75,91.61,87.32,92.21,92.79,93.52,91.33,100.86,98.59,91.3,96.22,86.48,85.04,85.29,105.58,82.69
905,90.27,84.66,91.46,96.5,88.01,86.73,97.32,80.48,101.57,90.99,82.22,92.58,96.58,88.03,94.83,104.13,101.9,94.97,102.32,100.77,108.15,105.34,94.37,88.7,92.27,96.24,94.78,91.26,98.01,96.92,91.85,96.31,85.81,85.19,85.92,106.14,82.61
910,88.83,86.44,87.25,98.16,87.09,88.87,94.25,79.23,100.49,87.23,81.8,92.71,93.54,89.58,90.68,99.18,98.95,92.18,99.33,96.74,102.38,101.54,93.09,86.59,89.44,93.86,94.82,88.02,97.56,91.6,87.73,92.76,83.51,82.46,84.03,101.39,81.71
